Year,EAV Code,Waste Quantities Produced by Primary Producers,Unknown Value 1,Metric Tons (1000)
2008,EAV-01,23,131,0
2008,EAV-02,71,0,6
2008,EAV-03,22,0,3
2008,EAV-04,16,0,2
2008,EAV-05,202,84,6
2008,EAV-06,1152,291,7
2008,EAV-07,2129,891,6
2008,EAV-08,1770,158,0
2008,EAV-09,235,37,1
2008,EAV-10,664,698,9
2008,EAV-11,2579,600,3
2008,EAV-12,3980,784,2
2008,EAV-13,4666,1211,6
2008,EAV-14,867,80,5
2008,EAV-15,2898,190,2
2008,EAV-16,3145,679,4
2008,EAV-17,13200,8920,1
2008,EAV-18,192,12,6
2008,EAV-19,1803,2512,2
2008,EAV-20,810,84,2
2008,,26249,17369,3
2009,EAV-01,21,138,9
2009,EAV-02,73,1,2
2009,EAV-03,25,0,3
2009,EAV-04,16,0,2
2009,EAV-05,182,55,3
2009,EAV-06,1117,348,8
2009,EAV-07,2102,843,7
2009,EAV-08,1688,141,7
2009,EAV-09,237,31,4
2009,EAV-10,675,609,9
2009,EAV-11,2496,457,5
2009,EAV-12,3967,613,0
2009,EAV-13,4540,1138,2
2009,EAV-14,857,73,0
2009,EAV-15,2852,165,5
2009,EAV-16,3144,722,3
2009,EAV-17,13490,8018,3
2009,EAV-18,215,13,7
2009,EAV-19,1798,2475,1
2009,EAV-20,784,96,4
2009,,26321,15944,5
2010,EAV-01,30,29,2
2010,EAV-02,64,1,0
2010,EAV-03,21,0,4
2010,EAV-04,9,0,2
2010,EAV-05,157,76,1
2010,EAV-06,1013,370,9
2010,EAV-07,1794,1062,2
2010,EAV-08,1420,160,0
2010,EAV-09,205,28,3
2010,EAV-10,663,758,5
2010,EAV-11,2122,589,6
2010,EAV-12,3629,806,7
2010,EAV-13,3692,1171,5
2010,EAV-14,767,94,5
2010,EAV-15,2637,195,7
2010,EAV-16,2779,760,2
2010,EAV-17,11186,7869,0
2010,EAV-18,192,16,8
2010,EAV-19,1649,3022,0
2010,EAV-20,698,95,5
2010,,23774,15029,5
2011,EAV-01,30,29,2
2011,EAV-02,64,1,0
2011,EAV-03,21,0,4
2011,EAV-04,9,0,2
2011,EAV-05,157,76,1
2011,EAV-06,1013,370,9
2011,EAV-07,1794,1062,2
2011,EAV-08,1420,160,0
2011,EAV-09,205,28,3
2011,EAV-10,663,758,5
2011,EAV-11,2122,589,6
2011,EAV-12,3629,806,7
2011,EAV-13,3692,1171,5
2011,EAV-14,767,94,5
2011,EAV-15,2637,195,7
2011,EAV-16,2779,760,2
2011,EAV-17,11186,7869,0
2011,EAV-18,192,16,8
2011,EAV-19,1649,3022,0
2011,EAV-20,698,95,5
2011,,21628,17108,3
2012,EAV-01,32,115,8
2012,EAV-02,65,2,9
2012,EAV-03,20,0,4
2012,EAV-04,9,0,2
2012,EAV-05,151,53,2
2012,EAV-06,1022,357,0
2012,EAV-07,1770,1066,0
2012,EAV-08,1395,158,3
2012,EAV-09,208,22,8
2012,EAV-10,671,768,6
2012,EAV-11,2120,556,5
2012,EAV-12,3633,803,7
2012,EAV-13,3712,1098,5
2012,EAV-14,722,75,0
2012,EAV-15,2591,186,9
2012,EAV-16,2789,830,5
2012,EAV-17,11362,7533,0
2012,EAV-18,192,18,2
2012,EAV-19,1633,3021,6
2012,EAV-20,716,91,6
2012,,21771,16760,5
2013,EAV-01,27,107,1
2013,EAV-02,69,1,9
2013,EAV-03,19,0,6
2013,EAV-04,7,0,2
2013,EAV-05,144,58,2
2013,EAV-06,1024,318,9
2013,EAV-07,1750,1090,7
2013,EAV-08,1383,159,7
2013,EAV-09,204,19,1
2013,EAV-10,701,791,2
2013,EAV-11,2096,544,5
2013,EAV-12,3691,803,6
2013,EAV-13,3823,1151,0
2013,EAV-14,731,68,2
2013,EAV-15,2580,188,3
2013,EAV-16,2880,825,3
2013,EAV-17,11226,7252,4
2013,EAV-18,202,18,3
2013,EAV-19,1627,2986,6
2013,EAV-20,731,86,0
2013,,21754,16471,7
2014,EAV-01,35,56,6
2014,EAV-02,60,1,2
2014,EAV-03,23,1,0
2014,EAV-04,5,0,2
2014,EAV-05,149,69,5
2014,EAV-06,999,318,3
2014,EAV-07,1728,1124,5
2014,EAV-08,1371,169,4
2014,EAV-09,195,17,3
2014,EAV-10,711,761,9
2014,EAV-11,2119,579,8
2014,EAV-12,3769,836,3
2014,EAV-13,3863,1181,3
2014,EAV-14,714,69,5
2014,EAV-15,2578,194,4
2014,EAV-16,2878,772,0
2014,EAV-17,11541,7731,7
2014,EAV-18,199,19,2
2014,EAV-19,1639,2913,2
2014,EAV-20,734,85,3
2014,,22048,16902,4
2015,EAV-01,34,46,8
2015,EAV-02,70,1,1
2015,EAV-03,20,0,5
2015,EAV-04,6,0,2
2015,EAV-05,145,50,6
2015,EAV-06,1000,308,9
2015,EAV-07,1743,1199,5
2015,EAV-08,1356,174,6
2015,EAV-09,197,15,6
2015,EAV-10,728,860,4
2015,EAV-11,2099,558,7
2015,EAV-12,3813,825,0
2015,EAV-13,3848,1187,0
2015,EAV-14,714,68,5
2015,EAV-15,2577,197,4
2015,EAV-16,2935,764,6
2015,EAV-17,11867,7647,1
2015,EAV-18,223,19,7
2015,EAV-19,1615,2794,2
2015,EAV-20,735,91,2
2015,,22419,16811,4
2016,EAV-01,33,118,3
2016,EAV-02,68,0,9
2016,EAV-03,15,0,2
2016,EAV-04,6,0,3
2016,EAV-05,146,58,8
2016,EAV-06,984,336,1
2016,EAV-07,1731,1209,3
2016,EAV-08,1317,168,3
2016,EAV-09,181,14,8
2016,EAV-10,754,852,9
2016,EAV-11,2121,572,7
2016,EAV-12,3875,813,1
2016,EAV-13,3821,1184,6
2016,EAV-14,677,65,2
2016,EAV-15,2586,198,7
2016,EAV-16,2831,725,0
2016,EAV-17,12230,8090,2
2016,EAV-18,235,19,9
2016,EAV-19,1609,2846,2
2016,EAV-20,752,76,6
2016,,22691,17352,1
2017,EAV-01,29,100,9
2017,EAV-02,63,0,9
2017,EAV-03,17,0,3
2017,EAV-04,10,0,4
2017,EAV-05,149,45,6
2017,EAV-06,981,344,1
2017,EAV-07,1741,1195,5
2017,EAV-08,1346,178,7
2017,EAV-09,178,12,7
2017,EAV-10,736,897,2
2017,EAV-11,2125,570,1
2017,EAV-12,3915,816,0
2017,EAV-13,3737,1177,5
2017,EAV-14,692,63,3
2017,EAV-15,2564,200,1
2017,EAV-16,2977,784,6
2017,EAV-17,12754,8010,9
2017,EAV-18,245,20,9
2017,EAV-19,1651,2932,1
2017,EAV-20,758,75,5
2017,,23257,17427,4
2018,EAV-01,23,57,5
2018,EAV-02,62,1,0
2018,EAV-03,22,0,5
2018,EAV-04,8,0,4
2018,EAV-05,136,64,7
2018,EAV-06,954,321,4
2018,EAV-07,1708,1217,2
2018,EAV-08,1345,180,7
2018,EAV-09,164,11,2
2018,EAV-10,742,902,1
2018,EAV-11,2118,591,6
2018,EAV-12,3950,824,5
2018,EAV-13,3727,1156,6
2018,EAV-14,728,66,3
2018,EAV-15,2537,202,7
2018,EAV-16,2928,785,2
2018,EAV-17,13163,8798,4
2018,EAV-18,258,22,2
2018,EAV-19,1644,2824,5
2018,EAV-20,762,75,4
2018,,23679,18104,1
2019,EAV-01,32,53,3
2019,EAV-02,67,1,4
2019,EAV-03,21,0,4
2019,EAV-04,10,0,4
2019,EAV-05,132,50,9
2019,EAV-06,954,301,4
2019,EAV-07,1711,1221,8
2019,EAV-08,1348,174,5
2019,EAV-09,160,10,4
2019,EAV-10,767,913,7
2019,EAV-11,2148,596,3
2019,EAV-12,3987,800,8
2019,EAV-13,3836,1151,5
2019,EAV-14,733,60,7
2019,EAV-15,2520,202,9
2019,EAV-16,3012,825,4
2019,EAV-17,13600,8514,9
2019,EAV-18,261,22,6
2019,EAV-19,1666,2968,8
2019,EAV-20,768,83,2
2019,,24205,17955,3
2020,EAV-01,24,54,2
2020,EAV-02,67,1,1
2020,EAV-03,18,0,9
2020,EAV-04,13,0,4
2020,EAV-05,126,38,2
2020,EAV-06,922,273,2
2020,EAV-07,1662,1160,6
2020,EAV-08,1324,161,9
2020,EAV-09,146,8,2
2020,EAV-10,766,919,8
2020,EAV-11,2082,522,7
2020,EAV-12,3918,706,7
2020,EAV-13,3886,1151,4
2020,EAV-14,685,53,6
2020,EAV-15,2514,179,8
2020,EAV-16,2931,811,9
2020,EAV-17,14002,9288,1
2020,EAV-18,268,26,8
2020,EAV-19,1674,2875,5
2020,EAV-20,773,81,2
2020,,24616,18316,5
2021,EAV-01,26,54,9
2021,EAV-02,67,1,2
2021,EAV-03,21,1,2
2021,EAV-04,13,0,3
2021,EAV-05,132,53,3
2021,EAV-06,903,280,9
2021,EAV-07,1611,1173,2
2021,EAV-08,1288,164,4
2021,EAV-09,143,7,8
2021,EAV-10,763,1056,5
2021,EAV-11,2084,558,9
2021,EAV-12,3856,740,6
2021,EAV-13,3869,1153,3
2021,EAV-14,663,55,4
2021,EAV-15,2479,186,2
2021,EAV-16,2989,871,6
2021,EAV-17,13449,8065,9
2021,EAV-18,276,28,6
2021,EAV-19,1666,2959,2
2021,EAV-20,804,73,5
2021,,24030,17486,9